"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000012MOR","41.812626","-88.091772","WGS84","Louise & Lee","based on collectors description","GeoLocate","153"
"0000013MOR","41.814631","-88.091247","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0000020MOR","41.791001","-88.176631","WGS84","Louise & Lee","based on collectors description","GeoLocate","603"
"0000038MOR","41.819409","-88.041167","WGS84","Louise & Lee","based on collectors description","GeoLocate","1000"
"0000039MOR","41.816049","-88.044415","WGS84","Louise & Lee","based on collectors description","GeoLocate","497"
"0000048MOR","41.88385","-88.037229","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0000104MOR","41.698936","-87.959308","WGS84","Louise & Lee","based on collectors description","GeoLocate","191"
"0000109MOR","41.816998","-88.04507","WGS84","Louise & Lee","based on collectors description","GeoLocate","505"
"0000110MOR","41.821518","-88.076391","WGS84","Louise & Lee","based on collectors description","GeoLocate","80"
"0000201MOR","41.153508","-86.944238","WGS84","Fertig","","","400"
"0000209MOR","41.522576","-87.456832","WGS84","Fertig","","","100"
"0000211MOR","41.73475","-86.85512","WGS84","Fertig","","","300"
"0000213MOR","41.088789","-87.426158","WGS84","Fertig","","","200"
"0000215MOR","41.6427","-87.087748","WGS84","Fertig","","GeoLocate","800"
"0000217MOR","41.236019","-86.66816","WGS84","Fertig","","","500"
"0000222MOR","41.818617","-88.057998","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0000258MOR","41.825369","-88.220412","WGS84","Louise & Lee","based on collectors description","GeoLocate","496"
"0000270MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0000278MOR","41.814865","-88.037699","WGS84","Louise & Lee","based on collectors description","GeoLocate","212"
"0000317MOR","41.969304","-88.234211","WGS84","Louise & Lee","based on collectors description","GeoLocate","211"
"0000342MOR","41.707858","-88.143248","WGS84","Louise & Lee","based on collectors description","GeoLocate","216"
"0000348MOR","41.790665","-88.024046","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0000350MOR","41.787836","-88.223088","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0000387MOR","41.816944","-88.053535","WGS84","Louise & Lee","based on collectors description","GeoLocate","208"
"0000388MOR","41.812738","-88.047698","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0000399MOR","41.69614","-87.97059","WGS84","Louise & Lee","based on collectors description","GeoLocate","103"
"0000423MOR","41.816198","-88.065347","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0000462MOR","41.817078","-88.235878","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0000471MOR","41.815273","-88.085088","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
"0000472MOR","41.815217","-88.07982","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0000513MOR","41.814833","-88.080786","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0000521MOR","41.815334","-88.064554","WGS84","Louise & Lee","based on collectors description","GeoLocate","194"
"0000553MOR","41.813298","-88.090871","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0000638MOR","41.934835","-87.957323","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0000648MOR","41.818863","-88.050299","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0000669MOR","41.887234","-88.217256","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0000675MOR","41.891684","-88.043392","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0000680MOR","41.735475","-88.076837","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0000682MOR","41.77901","-88.13564","WGS84","Louise & Lee","based on collectors description","GeoLocate","99"
"0000688MOR","41.712431","-87.927157","WGS84","Louise & Lee","based on collectors description","GeoLocate","1009"
"0000690MOR","41.712431","-87.927157","WGS84","Louise & Lee","based on collectors description","GeoLocate","215"
"0000704MOR","41.816401","-88.037913","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0000707MOR","41.813458","-88.079584","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0000708MOR","41.819423","-88.084326","WGS84","Louise & Lee","based on collectors description","GeoLocate","213"
"0000711MOR","41.817317","-88.065412","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0000743MOR","41.819215","-88.070872","WGS84","Louise & Lee","based on collectors description","GeoLocate","157"
"0000748MOR","41.819983","-88.046411","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0000774MOR","41.798368","-88.064769","WGS84","Louise & Lee","based on collectors description","GeoLocate","196"
"0000782MOR","41.816201","-88.085876","WGS84","Louise & Lee","based on collectors description","GeoLocate","149"
"0000783MOR","41.81333","-88.091111","WGS84","Louise & Lee","based on collectors description","GeoLocate","208"
"0000813MOR","41.812179","-88.069188","WGS84","Louise & Lee","based on collectors description","GeoLocate","96"
"0000835MOR","41.819839","-88.083597","WGS84","Louise & Lee","based on collectors description","GeoLocate","149"
"0000846MOR","41.820433","-88.050917","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0000855MOR","41.82075","-88.083532","WGS84","Louise & Lee","based on collectors description","GeoLocate","194"
"0000857MOR","41.821358","-88.080211","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
