"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000012MOR","41.812626|bannon-hipp|NA","-88.091772|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","153|bannon-hipp|NA"
"0000013MOR","41.814631|bannon-hipp|NA","-88.091247|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000020MOR","41.791001|bannon-hipp|NA","-88.176631|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","603|bannon-hipp|NA"
"0000038MOR","41.819409|bannon-hipp|NA","-88.041167|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1000|bannon-hipp|NA"
"0000039MOR","41.816049|bannon-hipp|NA","-88.044415|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","497|bannon-hipp|NA"
"0000048MOR","41.88385|bannon-hipp|NA","-88.037229|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000104MOR","41.698936|bannon-hipp|NA","-87.959308|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","191|bannon-hipp|NA"
"0000109MOR","41.816998|bannon-hipp|NA","-88.04507|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","505|bannon-hipp|NA"
"0000110MOR","41.821518|bannon-hipp|NA","-88.076391|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","80|bannon-hipp|NA"
"0000201MOR","41.153508|Fertig, Walter|NA","-86.944238|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","400|Fertig, Walter|NA"
"0000209MOR","41.522576|Fertig, Walter|NA","-87.456832|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","100|Fertig, Walter|NA"
"0000211MOR","41.73475|Fertig, Walter|NA","-86.85512|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","300|Fertig, Walter|NA"
"0000213MOR","41.088789|Fertig, Walter|NA","-87.426158|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","200|Fertig, Walter|NA"
"0000215MOR","41.6427|Fertig, Walter|NA","-87.087748|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","GeoLocate|Fertig, Walter|NA","800|Fertig, Walter|NA"
"0000217MOR","41.236019|Fertig, Walter|NA","-86.66816|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","500|Fertig, Walter|NA"
"0000222MOR","41.818617|bannon-hipp|NA","-88.057998|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000258MOR","41.825369|bannon-hipp|NA","-88.220412|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","496|bannon-hipp|NA"
"0000270MOR","41.818085|bannon-hipp|NA","-88.059232|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000278MOR","41.814865|bannon-hipp|NA","-88.037699|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","212|bannon-hipp|NA"
"0000317MOR","41.969304|bannon-hipp|NA","-88.234211|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","211|bannon-hipp|NA"
"0000342MOR","41.707858|bannon-hipp|NA","-88.143248|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","216|bannon-hipp|NA"
"0000348MOR","41.790665|bannon-hipp|NA","-88.024046|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0000350MOR","41.787836|bannon-hipp|NA","-88.223088|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000387MOR","41.816944|bannon-hipp|NA","-88.053535|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","208|bannon-hipp|NA"
"0000388MOR","41.812738|bannon-hipp|NA","-88.047698|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000399MOR","41.69614|bannon-hipp|NA","-87.97059|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","103|bannon-hipp|NA"
"0000423MOR","41.816198|bannon-hipp|NA","-88.065347|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000462MOR","41.817078|bannon-hipp|NA","-88.235878|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000471MOR","41.815273|bannon-hipp|NA","-88.085088|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","151|bannon-hipp|NA"
"0000472MOR","41.815217|bannon-hipp|NA","-88.07982|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","202|bannon-hipp|NA"
"0000513MOR","41.814833|bannon-hipp|NA","-88.080786|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000521MOR","41.815334|bannon-hipp|NA","-88.064554|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","194|bannon-hipp|NA"
"0000553MOR","41.813298|bannon-hipp|NA","-88.090871|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000638MOR","41.934835|bannon-hipp|NA","-87.957323|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000648MOR","41.818863|bannon-hipp|NA","-88.050299|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","204|bannon-hipp|NA"
"0000669MOR","41.887234|bannon-hipp|NA","-88.217256|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000675MOR","41.891684|bannon-hipp|NA","-88.043392|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0000680MOR","41.735475|bannon-hipp|NA","-88.076837|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000682MOR","41.77901|bannon-hipp|NA","-88.13564|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","99|bannon-hipp|NA"
"0000688MOR","41.712431|bannon-hipp|NA","-87.927157|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1009|bannon-hipp|NA"
"0000690MOR","41.712431|bannon-hipp|NA","-87.927157|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","215|bannon-hipp|NA"
"0000704MOR","41.816401|bannon-hipp|NA","-88.037913|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000707MOR","41.813458|bannon-hipp|NA","-88.079584|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000708MOR","41.819423|bannon-hipp|NA","-88.084326|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","213|bannon-hipp|NA"
"0000711MOR","41.817317|bannon-hipp|NA","-88.065412|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000743MOR","41.819215|bannon-hipp|NA","-88.070872|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","157|bannon-hipp|NA"
