"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"100225",413710,4285985,"0057124MOR",65749,"CLOSED","APPLIED","Gilbert, Edward",42037.571724537,"decimallatitude","87.83126","41.833199999999998"
"107925",413709,4285985,"0057124MOR",65749,"CLOSED","APPLIED","Gilbert, Edward",42037.571724537,"decimallongitude","-41.83325","-87.83126"
"92526",415100,4272384,"0044083MOR",44042,"CLOSED","APPLIED","Brandt, Benjamin",42038.5314930556,"cultivationstatus","0","1"
"92525",415101,4272757,"0044082MOR",44422,"CLOSED","APPLIED","Brandt, Benjamin",42038.531724537,"cultivationstatus","0","1"
"92524",417701,4287919,"0059366MOR",67739,"OPEN","APPLIED","Hipp, Andrew",42041.2911226852,"cultivationstatus","0","1"
"107936",417861,4285464,"0056688MOR",65222,"CLOSED","APPLIED","Brown, Bethany",42041.5789467593,"eventdate","1010-04-22","40290"
"138656",417860,4285464,"0056688MOR",65222,"CLOSED","APPLIED","Brown, Bethany",42041.5789467593,"year","1010","2010"
"107935",417863,4285926,"0057095MOR",65689,"CLOSED","APPLIED","Brown, Bethany",42041.579849537,"eventdate","1209-08-08","40033"
"138655",417862,4285926,"0057095MOR",65689,"CLOSED","APPLIED","Brown, Bethany",42041.579849537,"year","1209","2009"
"107934",417866,4292060,"0063421MOR",72054,"CLOSED","APPLIED","Brown, Bethany",42041.5808217593,"eventdate","1201-06-10","37052"
"138654",417865,4292060,"0063421MOR",72054,"CLOSED","APPLIED","Brown, Bethany",42041.5808217593,"year","1201","2001"
"107933",417868,4286223,"0057370MOR",66037,"CLOSED","APPLIED","Brown, Bethany",42041.5822916667,"eventdate","1060-10-01","22190"
"138653",417867,4286223,"0057370MOR",66037,"CLOSED","APPLIED","Brown, Bethany",42041.5822916667,"year","1060","1960"
"138645",417869,4286223,"0057370MOR",66037,"CLOSED","APPLIED","Brown, Bethany",42041.5849884259,"verbatimeventdate","01 Oct 1060 01 Oct 1060","01 Oct 1960 01 Oct 1960"
"138644",417870,4285464,"0056688MOR",65222,"CLOSED","APPLIED","Brown, Bethany",42041.5853125,"verbatimeventdate","22 Apr 1010","40290"
"138643",417871,4285926,"0057095MOR",65689,"CLOSED","APPLIED","Brown, Bethany",42041.5856134259,"verbatimeventdate","08 Aug 1209","40033"
"138642",417872,4292060,"0063421MOR",72054,"CLOSED","APPLIED","Brown, Bethany",42041.5859606481,"verbatimeventdate","10 Jun 1201","37052"
"107932",417874,4286585,"0057797MOR",66402,"CLOSED","APPLIED","Brown, Bethany",42041.5863310185,"eventdate","1005-10-17","38642"
"138641",417875,4286585,"0057797MOR",66402,"CLOSED","APPLIED","Brown, Bethany",42041.5863310185,"verbatimeventdate","17 Oct 1005","38642"
"138652",417873,4286585,"0057797MOR",66402,"CLOSED","APPLIED","Brown, Bethany",42041.5863310185,"year","1005","2005"
"107931",417878,4284786,"0056086MOR",64533,"CLOSED","APPLIED","Brown, Bethany",42041.586712963,"eventdate","1201-06-23","40352"
"138640",417876,4284786,"0056086MOR",64533,"CLOSED","APPLIED","Brown, Bethany",42041.586712963,"verbatimeventdate","23 Jun 1201","40352"
"138651",417877,4284786,"0056086MOR",64533,"CLOSED","APPLIED","Brown, Bethany",42041.586712963,"year","1201","2010"
"107930",417880,4284787,"0056087MOR",64534,"CLOSED","APPLIED","Brown, Bethany",42041.5871990741,"eventdate","1201-06-23","40352"
"138639",417881,4284787,"0056087MOR",64534,"CLOSED","APPLIED","Brown, Bethany",42041.5871990741,"verbatimeventdate","23 Jun 1201","40352"
"138650",417879,4284787,"0056087MOR",64534,"CLOSED","APPLIED","Brown, Bethany",42041.5871990741,"year","1201","2010"
"107929",417884,4284202,"0054771MOR",63941,"CLOSED","APPLIED","Brown, Bethany",42041.5876851852,"eventdate","1200-06-22","39986"
"138528",417883,4284202,"0054771MOR",63941,"CLOSED","APPLIED","Brown, Bethany",42041.5876851852,"startdayofyear","174","173"
"138638",417885,4284202,"0054771MOR",63941,"CLOSED","APPLIED","Brown, Bethany",42041.5876851852,"verbatimeventdate","22 Jun 1200","39986"
"138649",417882,4284202,"0054771MOR",63941,"CLOSED","APPLIED","Brown, Bethany",42041.5876851852,"year","1200","2009"
"107928",417887,4285048,"0056282MOR",64798,"CLOSED","APPLIED","Brown, Bethany",42041.5880671296,"eventdate","1210-04-27","40295"
"138637",417888,4285048,"0056282MOR",64798,"CLOSED","APPLIED","Brown, Bethany",42041.5880671296,"verbatimeventdate","27 Apr 1210","40295"
"138648",417886,4285048,"0056282MOR",64798,"CLOSED","APPLIED","Brown, Bethany",42041.5880671296,"year","1210","2010"
"107927",417890,4283687,"0055185MOR",63404,"CLOSED","APPLIED","Brown, Bethany",42041.5883217593,"eventdate","1009-11-09","40126"
"138636",417891,4283687,"0055185MOR",63404,"CLOSED","APPLIED","Brown, Bethany",42041.5883217593,"verbatimeventdate","09 Nov 1009","40126"
"138647",417889,4283687,"0055185MOR",63404,"CLOSED","APPLIED","Brown, Bethany",42041.5883217593,"year","1009","2009"
"107926",417893,4283633,"0054082MOR",63350,"CLOSED","APPLIED","Brown, Bethany",42041.5888773148,"eventdate","1209-07-20","40014"
"138635",417894,4283633,"0054082MOR",63350,"CLOSED","APPLIED","Brown, Bethany",42041.5888773148,"verbatimeventdate","20 Jul 1209","40014"
"138646",417892,4283633,"0054082MOR",63350,"CLOSED","APPLIED","Brown, Bethany",42041.5888773148,"year","1209","2009"
"138504",417928,4223344,"0038210MOR",11962,"CLOSED","APPLIED","Brown, Bethany",42041.6238310185,"locality","At Belden, 1.5 miles west of Richmond. On south side of IL 173 about a block west of CMStP&P RR. In a marshy roadside ditch. Richmond Twp.","At Belden, 1.5 miles west of Richmond. On south side of IL 173 about a block west of CMStP&P RR. Richmond Twp."
"138503",417933,4223345,"0038221MOR",11963,"CLOSED","APPLIED","Brown, Bethany",42041.6273032407,"locality","In marsh at southeast corner of intersection of Wine Road and the Burlington Northern Railway near the northeast edge of Millington.","At southeast corner of intersection of Wine Road and the Burlington Northern Railway near the northeast edge of Millington."
"138502",417954,4223347,"0038217MOR",11965,"CLOSED","APPLIED","Brown, Bethany",42041.6382638889,"locality","Northeast of Braceville, on east half of right-of-way of GM&O Railroad about 150' southwest of Mullins junction. In ditch.","Northeast of Braceville, on east half of right-of-way of GM&O Railroad about 150' southwest of Mullins junction."
"138501",417961,4226087,"0038215MOR",36475,"CLOSED","APPLIED","Brown, Bethany",42041.6413657407,"locality","Hidden Lake Forest Preserve, 0.3 miles S of intersection of Butterfield Rd. and Rt. 53. Edge of gravel lake, mostly shore edge and in shallows of water.","Hidden Lake Forest Preserve, 0.3 miles S of intersection of Butterfield Rd. and Rt. 53."
"138517",417963,4226087,"0038215MOR",36475,"CLOSED","APPLIED","Brown, Bethany",42041.6417708333,"occurrenceremarks","Perennial, rhizomatous, 2 m tall, staminate flowers above and separated from pistillate flowers. Sample part: RH RT, IF. NCI Code OGDK0325-L-326-M","Sample part: RH RT, IF. NCI Code OGDK0325-L-326-M"
"138500",417965,4226223,"0038211MOR",36613,"CLOSED","APPLIED","Brown, Bethany",42041.6460185185,"locality","On east side of Rt. 2 about 1/3 mi south of 129th Street and 4 mi SW of Lake Eliza. In ditch by gravel path.","On east side of Rt. 2 about 1/3 mi south of 129th Street and 4 mi SW of Lake Eliza."
"138499",417968,4231317,"0050909MOR",57834,"CLOSED","APPLIED","Brown, Bethany",42041.6486689815,"locality","The Morton Arboretum, East Side. SE corner of Arboretum, SE corner of Puffer Marsh (moist soil but no standing water at this time), under power lines. Marsh dominated by Phragmites australis and Typha.","The Morton Arboretum, East Side. SE corner of Arboretum, SE corner of Puffer Marsh."
"138516",417969,4231317,"0050909MOR",57834,"CLOSED","APPLIED","Brown, Bethany",42041.6486689815,"occurrenceremarks","Large colony.",NA
"138498",419237,4246522,"0038234MOR",14703,"CLOSED","APPLIED","Brown, Bethany",42044.7041782407,"locality","In Schererville, in disturbed ground in the NE corner of the intersection of U.S. 41 and U.S. 30.","In Schererville, in the NE corner of the intersection of U.S. 41 and U.S. 30."
"138497",419259,4258550,"0038320MOR",26777,"CLOSED","APPLIED","Brown, Bethany",42044.7101851852,"locality","On the N side of a road E of Hopkins Park. In a ditch.","On the N side of a road E of Hopkins Park."
