"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"100225",413710,4285985,"0057124MOR",65749,"CLOSED","APPLIED","Gilbert, Edward",42037.571724537,"decimallatitude","87.83126","41.833199999999998"
"107925",413709,4285985,"0057124MOR",65749,"CLOSED","APPLIED","Gilbert, Edward",42037.571724537,"decimallongitude","-41.83325","-87.83126"
"100201",419576,4279604,"0050314MOR",56795,"OPEN","APPLIED","Hipp, Andrew",42044.9256712963,"decimallatitude","41.489400000000003","41.816614000000001"
"107901",419577,4279604,"0050314MOR",56795,"OPEN","APPLIED","Hipp, Andrew",42044.9256712963,"decimallongitude","-88.031999999999996","-88.054199999999994"
"100200",419583,4279578,"0050288MOR",56766,"OPEN","APPLIED","Hipp, Andrew",42044.9278587963,"decimallatitude","41.489400000000003","41.815600000000003"
"107900",419584,4279578,"0050288MOR",56766,"OPEN","APPLIED","Hipp, Andrew",42044.9278587963,"decimallongitude","-88.031999999999996","-88.053299999999993"
"100199",419589,4230910,"0048729MOR",55555,"OPEN","APPLIED","Hipp, Andrew",42044.9305208333,"decimallatitude","41.801299999999998","41.814605999999998"
"107899",419590,4230910,"0048729MOR",55555,"OPEN","APPLIED","Hipp, Andrew",42044.9305208333,"decimallongitude","-88.083600000000004","-88.089250000000007"
"100198",419596,4226127,"0007200MOR",36515,"OPEN","APPLIED","Hipp, Andrew",42044.9314467593,"decimallatitude","41.802300000000002","41.813479000000001"
"107898",419597,4226127,"0007200MOR",36515,"OPEN","APPLIED","Hipp, Andrew",42044.9314467593,"decimallongitude","-88.085800000000006","-88.085667999999998"
"100197",419603,4230912,"0048731MOR",55557,"OPEN","APPLIED","Hipp, Andrew",42044.9330671296,"decimallatitude","41.801299999999998","41.815629999999999"
"107897",419604,4230912,"0048731MOR",55557,"OPEN","APPLIED","Hipp, Andrew",42044.9330671296,"decimallongitude","-88.083600000000004","-88.090301999999994"
"100196",419610,4230629,"0044244MOR",55250,"OPEN","APPLIED","Hipp, Andrew",42044.9342013889,"decimallatitude","41.801299999999998","41.815454000000003"
"107896",419611,4230629,"0044244MOR",55250,"OPEN","APPLIED","Hipp, Andrew",42044.9342013889,"decimallongitude","-88.083600000000004","-88.090237999999999"
"100185",429981,4230909,"0048728MOR",55554,"OPEN","APPLIED","Hipp, Andrew",42051.6666550926,"decimallatitude","41.801299999999998","41.814798000000003"
"107885",429982,4230909,"0048728MOR",55554,"OPEN","APPLIED","Hipp, Andrew",42051.6666550926,"decimallongitude","-88.083600000000004","-88.088864000000001"
"130359",1372385,4222599,"0027272MOR",11217,"OPEN","APPLIED","Hipp, Andrew",42270.703900463,"georeferenceremarks","between rte 23 and end of section 11","reasonable certainty between rte 23 and end of section 11"
"7655",1372471,4245578,"0027331MOR",13758,"OPEN","APPLIED","Hipp, Andrew",42270.7152199074,"coordinateuncertaintyinmeters","969","308"
"100151",1372469,4245578,"0027331MOR",13758,"OPEN","APPLIED","Hipp, Andrew",42270.7152199074,"decimallatitude","41.709282999999999","41.710051999999997"
"107851",1372470,4245578,"0027331MOR",13758,"OPEN","APPLIED","Hipp, Andrew",42270.7152199074,"decimallongitude","-87.944181999999998","-87.941091999999998"
"130358",1372472,4245578,"0027331MOR",13758,"OPEN","APPLIED","Hipp, Andrew",42270.7152199074,"georeferenceremarks","High uncertainty, May be center of sec. 11 instead of NE, NE","Moderate uncertainty, May be center of sec. 11 instead of NE, NE"
"7642",1442649,4247016,"0027454MOR",15197,"OPEN","APPLIED","Hipp, Andrew",42283.6842361111,"coordinateuncertaintyinmeters","300","676"
"100138",1442647,4247016,"0027454MOR",15197,"OPEN","APPLIED","Hipp, Andrew",42283.6842361111,"decimallatitude","41.5","41.563532000000002"
"107838",1442648,4247016,"0027454MOR",15197,"OPEN","APPLIED","Hipp, Andrew",42283.6842361111,"decimallongitude","-87.59","-87.590726000000004"
"130345",1443662,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42283.6941666667,"georeferenceremarks","Based on ill geo survery plss/polygon needs correction","Based on ill geo survery plss"
"7637",1444379,4245113,"0027523MOR",13292,"OPEN","APPLIED","Hipp, Andrew",42283.7545486111,"coordinateuncertaintyinmeters","3613","205"
"107833",1444378,4245113,"0027523MOR",13292,"OPEN","APPLIED","Hipp, Andrew",42283.7545486111,"decimallongitude","-87.048907","-87.049250000000001"
"7628",1632381,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42311.7053472222,"coordinateuncertaintyinmeters","215","190"
"100125",1632379,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42311.7053472222,"decimallatitude","41.880909000000003","41.87979"
"107824",1632380,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42311.7053472222,"decimallongitude","-87.829355000000007","-87.826993999999999"
"122897",1632382,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42311.7053472222,"georeferencedby","Louise","Louise and lee"
"130332",1632383,4247020,"0027352MOR",15201,"OPEN","APPLIED","Hipp, Andrew",42311.7053472222,"georeferenceremarks","Based on ill geo survery plss","Based on collectors street intersection"
"7621",1678023,4222599,"0027272MOR",11217,"OPEN","APPLIED","Hipp, Andrew",42318.6544328704,"coordinateuncertaintyinmeters","168","67"
"100118",1678021,4222599,"0027272MOR",11217,"OPEN","APPLIED","Hipp, Andrew",42318.6544328704,"decimallatitude","42.392932999999999","42.385903999999996"
"107817",1678022,4222599,"0027272MOR",11217,"OPEN","APPLIED","Hipp, Andrew",42318.6544328704,"decimallongitude","-88.618730999999997","-88.613130999999996"
"130325",1678024,4222599,"0027272MOR",11217,"OPEN","APPLIED","Hipp, Andrew",42318.6544328704,"georeferenceremarks","reasonable certainty between rte 23 and end of section 11","based on collectors desc. & 1/4 sec"
"7615",1720584,4248283,"0027433MOR",16467,"OPEN","APPLIED","Hipp, Andrew",42325.6435185185,"coordinateuncertaintyinmeters","190","225"
"100112",1720582,4248283,"0027433MOR",16467,"OPEN","APPLIED","Hipp, Andrew",42325.6435185185,"decimallatitude","41.617342000000001","41.618175999999998"
"107811",1720583,4248283,"0027433MOR",16467,"OPEN","APPLIED","Hipp, Andrew",42325.6435185185,"decimallongitude","-86.842243999999994","-86.844047000000003"
"100105",1722438,4293496,"0058473MOR",169305,"OPEN","APPLIED","Hipp, Andrew",42325.7271759259,"decimallatitude","41.603450000000002","41.612217999999999"
"107804",1722439,4293496,"0058473MOR",169305,"OPEN","APPLIED","Hipp, Andrew",42325.7271759259,"decimallongitude","-87.439170000000004","-87.195948000000001"
"130309",1758508,4249154,"0027330MOR",17339,"OPEN","APPLIED","Hipp, Andrew",42332.7480439815,"georeferenceremarks","based on Oswego Cemetary[Oswego Township Cemetary]","based on Oswego Cemetary[Oswego Township Cemetary] the other cemeteries in area do not come close to the corrected section & 1/4 section"
"7604",1758512,4249154,"0027330MOR",17339,"OPEN","APPLIED","Hipp, Andrew",42332.7506018519,"coordinateuncertaintyinmeters","187","98"
"100101",1758510,4249154,"0027330MOR",17339,"OPEN","APPLIED","Hipp, Andrew",42332.7506018519,"decimallatitude","41.677582000000001","41.677925000000002"
"107800",1758511,4249154,"0027330MOR",17339,"OPEN","APPLIED","Hipp, Andrew",42332.7506018519,"decimallongitude","-88.361210999999997","-88.360912999999996"
"7596",1798434,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7239814815,"coordinateuncertaintyinmeters","107","102"
"100093",1798432,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7239814815,"decimallatitude","41.677850999999997","41.677726999999997"
"107792",1798433,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7239814815,"decimallongitude","-88.361181999999999","-88.361238"
"7595",1798590,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7331481481,"coordinateuncertaintyinmeters","102","104"
"100092",1798588,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7331481481,"decimallatitude","41.677726999999997","41.677774999999997"
"107791",1798589,4249386,"0027138MOR",17573,"OPEN","APPLIED","Hipp, Andrew",42339.7331481481,"decimallongitude","-88.361238","-88.361061000000007"
"7594",1798692,4249154,"0027330MOR",17339,"OPEN","APPLIED","Hipp, Andrew",42339.7377893518,"coordinateuncertaintyinmeters","98","107"
