Id,VLOOKup BARCODE,VLOOKUP-lat,ROUNDLAT-RimportFILE,VLOOKUP-long,ROUNDLONG-RimportFile,LATS match,Tag,Del,CollectionEventCategoryCode,ProjectName,LONGS match,Latitude-inBRAHMS,Longitude-inBRAHMS,LLDatum,LLResolution-in BRAHMS,VLOOK-UP LLRESOL,VLOOK-UP MATCH,LLOrigin,Comments,georeferencedBy,georeferenceRemarks,CurationText,Town_rng
325cf585-ed2a-442b-8137-012e781dfdbf,0050582MOR,42.340706,42.340706,-87.879773,-87.879773,GOOD,*,,PS,Hill's Oak Molecular Studies 2005-2006: Taxonomy/hybridization In Hill's Oak: Molecular Studies Funded By A Franklin Research Grant From Aps: 2005-2006,GOOD,42.340706,-87.879773,WGS84,152m,152m,GOOD,GeoLocate,"First collection made June 2, 2005 (#2562). Acorns collected from ground. See staff for acorns.",Louise and Lee,based on collectors description,,
13225170-49a4-4883-bbe2-0136c178ec82,0043962MOR,41.811848,41.811848,-88.071828,-88.071828,GOOD,*,,PS,,PROBLEM,41.811848,-88.071828,WGS84,91m,91m,GOOD,GeoLocate,"Original Source: PLT fr KOHANKIE Oval tree 60-65' tall x 40' wide 30"""" dbh in good condition with some dieback at branch ends. Bark tightly fissured, twigs greenish-gray, flower color greenish.",Louise and Lee,based on collectors description,,
1659d304-9377-483e-bc8e-014c0b99fde4,0027305MOR,41.651919,41.651919,-87.012828,-87.012828,PROBLEM,*,,PS,,PROBLEM,41.653178,-87.012002,WGS84,185m,86m,PROBLEM,GeoLocate,,Louise and Lee,based on collectors desc. & 1/4 sec,,"T37N R5W Sec. 17 SE 1/4, SE 1/4"
dade1c30-3ff0-48da-ac2e-017a05d917cb,0038222MOR,41.831345,41.831345,-88.371825,-88.371825,GOOD,*,,PS,,GOOD,41.831345,-88.371825,WGS84,781m,781m,GOOD,GeoLocate,County Voucher supplementing earlier sight record,"Brown, Bethany",,,T39N R8E Sec. 30 NW 1/4
8f988f2e-7dbb-4e9a-88ed-033ba7b5d05f,0043575MOR,41.816678,41.816678,-88.069145,-88.069145,GOOD,*,,PS,,GOOD,41.816678,-88.069145,WGS84,51m,51m,GOOD,GeoLocate,"Original Source: Ohio Ag. Exp, Wooster, O.",Louise and Lee,based on collectors description,,
955671f5-597d-4346-9589-035e7831c985,0027398MOR,41.993762,41.993762,-88.462091,-88.462091,GOOD,*,,PS,,GOOD,41.993762,-88.462091,WGS84,113m,113m,GOOD,GeoLocate,,Louise and Lee,based on collectors description,,"T41N R7E Sec. 32 SW 1/4, NE 1/4"
cf28461f-533c-4335-90be-03ae9e77ee02,0027222MOR,41.817381,41.817381,-88.052537,-88.052537,GOOD,*,,PS,,GOOD,41.817381,-88.052537,WGS84,782m,795m,PROBLEM,GeoLocate,,Louise and Lee,based on collectors description,,
d853e883-abd2-40dc-bc55-040a1db62994,0027235MOR,41.605724,41.605724,-87.554602,-87.554602,GOOD,*,,PS,,GOOD,41.605724,-87.554602,WGS84,362m,362m,GOOD,GeoLocate,"Most trees w/descending branches. Some trees 15 m tall, to 2-3 dm d.b.h., bark gray to blackish, smooth lower down. Add'l annotation label information by A. Hipp (MOR), May 15, 2007: End buds densely silky-pubescent on... (see Comments for more) Cont'd from Attributes: ...distal 2/3, 5 mm long; acorn cap scale bodies glossy, somewhat tuberculated, tips not elongate. Many oaks around Calumet City problematic and reminiscent of Q. coccinea; this specimen is no exception. Still, Q. ellipsoidalis seems the closest fit.",Louise and Lee,based on Collectors descripton,,T36N R15E Sec. 18 SW 1/4
8f8939bd-84ed-41bb-ae43-04213c5caf1e,0027025MOR,41.526485,41.526485,-88.193392,-88.193392,GOOD,*,,PS,,GOOD,41.526485,-88.193392,WGS84,182m,182m,GOOD,GeoLocate,"A small tree, easily identified by the noticeably peeling bark on each branch about one inch in diameter.",Louise and Lee,based on collectors description,,T35N R9E Sec. 10 SE 1/4
d24fae66-8b8e-4127-a98e-0426912cccd4,0027330MOR,41.677582,41.677582,-88.361211,-88.361211,PROBLEM,*,,PS,,PROBLEM,41.677783,-88.361179,WGS84,107m,187m,PROBLEM,GeoLocate,"Collected from several old, open-grown, 24-36"""" dbh trees.",Louise,"based on Oswego Cemetary[Oswego Township Cemetary] the other cemeteries in area do not come close to the corrected section & 1/4 section. [TRS: T37N R8E S19 NW 1/4, NE 1/4]","georeference remarks modify TRS, however that info is kept in georeferenceRemarks, and TRS fields within database have not been changed.","T37N R8E Sec. 19 NE 1/4, NE 1/4"
7aaa497a-bb80-4aea-acf5-0432b6907985,0027089MOR,42.315483,42.315483,-88.22549,-88.22549,GOOD,*,,PS,,PROBLEM,42.315483,-88.22549,WGS84,159m,159m,GOOD,GeoLocate,"30' tall, 1' dbh. No acorns at all. Oaks and other trees commonly of 3-6"""" dbh. White oaks common and several of this size category.",Louise and Lee,based on collectors description,,
5097e6b6-004c-4573-8d93-0519a8c89785,0038212MOR,42.584994,42.584994,-88.54117,-88.54117,GOOD,*,,PS,,PROBLEM,42.584994,-88.54117,WGS84,266m,266m,GOOD,GeoLocate,Forming cattail marsh with Typha latifolia. County Voucher supplementing earlier sight record,"Brown, Bethany",,,1N & T2 Twp. R17E Sec. (null) (null)
611e339e-01b9-4bd3-8cc6-054ce2e6d553,0076853MOR,#N/A,#N/A,#N/A,#N/A,#N/A,*,,PS,,#N/A,45.851002,-92.606486,,9241m,#N/A,#N/A,GEOLocate,,,,,
49fc9070-09ed-48fc-bf9c-0595e45cf842,0027077MOR,41.305905,41.305905,-88.577625,-88.577625,GOOD,*,,PS,,PROBLEM,41.305905,-88.577625,WGS84,199m,199m,GOOD,GeoLocate,Several trees. Acorns and twigs collected from ground.Acorns and leaves more likely to go together for 836b.,Louise and Lee,based on collectors description,,
ef336b58-26dc-408e-83b7-05cf006eba67,0027278MOR,40.821543,40.821543,-87.455737,-87.455737,GOOD,*,,PS,,PROBLEM,40.821543,-87.455737,WGS84,152m,152m,GOOD,GeoLocate,,Louise and Lee,based on collectors description,,T27N R9W Sec. 4 center
a1be7f2f-cb28-4469-b0e0-05e27aa33332,0043667MOR,41.812648,41.812648,-88.073609,-88.073609,GOOD,*,,PS,,GOOD,41.812648,-88.073609,WGS84,70m,70m,GOOD,GeoLocate,"Original Source: Spontaneous on MOR grounds,N-66/25-60 Irregularly shaped tree, 10' high & 7' wide, in fair condition; cicada damage. Bark smooth, shallow fissured and brown. Twig smooth and brown. Fruit green. Abundant acorns.",Louise and Lee,based on collectors description,,
a55f8195-890f-4370-b1a2-06c797de4e13,0043547MOR,41.819013,41.819013,-88.064854,-88.064854,GOOD,*,,PS,,PROBLEM,41.819013,-88.064854,WGS84,81m,81m,GOOD,GeoLocate,Original Source: Seed from Arnold Arboretum Sown 12/12/1922; germinated 5/23/1923,Louise and Lee,based on collectors description,,
fadc3e98-1e92-497f-adcd-0779dd9bbac2,0027524MOR,41.653378,41.653378,-87.049723,-87.049723,GOOD,*,,PS,,GOOD,41.653378,-87.049723,WGS84,211m,211m,GOOD,GeoLocate,,Louise and Lee,based on collectors description,,
64558a68-21dc-4bb1-88b0-0795a32a9994,0043976MOR,41.814375,41.814375,-88.050735,-88.050735,GOOD,*,,PS,,GOOD,41.814375,-88.050735,WGS84,128m,128m,GOOD,GeoLocate,"Original Source: SD fr E. Logue, PA Small mat tree 3-5' tall x 7-8' wide in good condition. Bark smooth and gray. Twigs tan.",Louise and Lee,based on collectors description,,
3eff5adc-e077-4d7b-ad55-08a86fa57646,0044012MOR,41.815142,41.815142,-88.048761,-88.048761,PROBLEM,*,,PS,,PROBLEM,41.815846,-88.052623,WGS84,170m,213m,PROBLEM,GeoLocate,,Louise and Lee,based on collectors description,,
3a7c6307-2a55-47ea-969f-08d5748cb34b,0043837MOR,41.812520,41.812520,-88.050477,-88.050477,GOOD,*,,PS,,GOOD,41.812520,-88.050477,WGS84,119m,119m,GOOD,GeoLocate,,Louise and Lee,based on collectors description,,
40a1d691-5baf-434f-9764-08f7357cd3a5,0027527MOR,41.424295,41.424295,-86.481017,-86.481017,GOOD,*,,PS,,PROBLEM,41.424295,-86.481017,WGS84,190m,190m,GOOD,GeoLocate,"Typical shape, lower branches sagging.",Louise and Lee,based on collectors description,,
