"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0000012MOR","41.812626","-88.091772","WGS84","Louise & Lee","based on collectors description","GeoLocate","153","f87505a1-b203-4efb-b125-181128ea363c"
"0000013MOR","41.814631","-88.091247","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","852b53a8-ad27-4712-8968-eba4adae48ed"
"0000020MOR","41.791001","-88.176631","WGS84","Louise & Lee","based on collectors description","GeoLocate","603","647746a8-ddfe-4af5-8076-f6ce6b7b6070"
"0000038MOR","41.819409","-88.041167","WGS84","Louise & Lee","based on collectors description","GeoLocate","1000","307d0ef2-0ea2-43a1-94e6-a243b292e030"
"0000039MOR","41.816049","-88.044415","WGS84","Louise & Lee","based on collectors description","GeoLocate","497","fd1afbfd-8737-4376-ac2e-2e1919f7ae7e"
"0000048MOR","41.88385","-88.037229","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","b4001e94-1255-4b10-bb57-a01669af481a"
"0000104MOR","41.698936","-87.959308","WGS84","Louise & Lee","based on collectors description","GeoLocate","191","f15ad84e-482e-4383-8aeb-94e0ad8372f7"
"0000109MOR","41.816998","-88.04507","WGS84","Louise & Lee","based on collectors description","GeoLocate","505","2c3ac14a-64cc-4f0b-8c7e-63cf8e277839"
"0000110MOR","41.821518","-88.076391","WGS84","Louise & Lee","based on collectors description","GeoLocate","80","03ef3628-42a6-4b60-be5a-5059a770a12b"
"0000201MOR","41.153508","-86.944238","WGS84","Fertig","","","400","d54f7e55-327f-4bfa-a32d-8aa4bd50f21f"
"0000209MOR","41.522576","-87.456832","WGS84","Fertig","","","100","f835500e-b7ea-444c-9643-acb0082b6867"
"0000211MOR","41.73475","-86.85512","WGS84","Fertig","","","300","cf106d2f-4ad0-4851-8628-18a23cec1cfa"
"0000213MOR","41.088789","-87.426158","WGS84","Fertig","","","200","2140303c-52e6-4a10-908f-1cdafe47ab29"
"0000215MOR","41.6427","-87.087748","WGS84","Fertig","","GeoLocate","800","fbbc57cc-b53b-4d9d-bb93-e0371cc01e44"
"0000217MOR","41.236019","-86.66816","WGS84","Fertig","","","500","2416506c-219e-4a8d-9bfb-9979f2d8d745"
"0000222MOR","41.818617","-88.057998","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","1f463107-47a6-4dd4-9889-db856a445d05"
"0000258MOR","41.825369","-88.220412","WGS84","Louise & Lee","based on collectors description","GeoLocate","496","8bad9da6-4839-4da4-b5fd-632f6db38353"
"0000270MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","384873ac-6bc9-412b-8cd6-6d8f9f058b86"
"0000278MOR","41.814865","-88.037699","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","b06197df-bcb7-4a32-8c78-13c57253b6f4"
"0000317MOR","41.969304","-88.234211","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","5f509bad-1e83-48d4-a3c3-2cebdb8e7820"
"0000342MOR","41.707858","-88.143248","WGS84","Louise & Lee","based on collectors description","GeoLocate","216","83628c92-bbbe-4c06-a3e1-af0d86488d8a"
"0000348MOR","41.790665","-88.024046","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","60c27aad-0ac7-4b92-86c9-290a100cd253"
"0000350MOR","41.787836","-88.223088","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","8f9cf766-7adb-47f0-8d7f-5bf4c7a54fff"
"0000387MOR","41.816944","-88.053535","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","98aeb136-a7c0-472e-b589-30b6fe398162"
"0000388MOR","41.812738","-88.047698","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","151e4d44-56fc-42ab-a3dd-a4e221e5d3ec"
"0000399MOR","41.69614","-87.97059","WGS84","Louise & Lee","based on collectors description","GeoLocate","103","05a968a2-f382-41cb-9958-8b2e59edbeac"
"0000423MOR","41.816198","-88.065347","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","5e92762d-4b83-45a3-a891-4a131981f836"
"0000462MOR","41.817078","-88.235878","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","44a04f24-af57-4722-bedb-338c0d2102a7"
"0000471MOR","41.815273","-88.085088","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","69922a44-18e7-4d12-ad88-1315061a3bdf"
"0000472MOR","41.815217","-88.07982","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","416831e6-29df-4c6b-a7b5-e6393a499e6e"
"0000513MOR","41.814833","-88.080786","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","de9b36ac-8384-4f75-a458-de6905b0f75b"
"0000521MOR","41.815334","-88.064554","WGS84","Louise & Lee","based on collectors description","GeoLocate","194","d43e0be9-0e28-4245-b77e-1c7c6365d808"
"0000553MOR","41.813298","-88.090871","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","85adcaa8-e084-4729-b4ba-e6e3d2caf65a"
"0000638MOR","41.934835","-87.957323","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","7a065603-8826-4708-9af9-cb1c3a6390d6"
"0000648MOR","41.818863","-88.050299","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","3701f2c2-f1aa-42b4-b07f-eea7b1e28219"
"0000669MOR","41.887234","-88.217256","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","70f67132-de23-4dc5-867c-c86a580a47d8"
