"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","country","county","cultivationstatus","dateidentified","eventdate","georeferenceprotocol","habitat","identificationremarks","identifiedby","locality","localitysecurity","localitysecurityreason","municipality","occurrenceremarks","processingstatus","sciname","startdayofyear","stateprovince","stateProvince","verbatimattributes","verbatimcoordinates","verbatimeventdate","year"
"0000012MOR","41.812626000000002","-88.091772000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","153","","","","","","","","","","","","","","","","","","","","","","",""
"0000013MOR","41.814630999999999","-88.091246999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0000020MOR","41.791001000000001","-88.176631","WGS84","Louise & Lee","based on collectors description","GeoLocate","603","","","","","","","","","","","","","","","","","","","","","","",""
"0000038MOR","41.819409","-88.041167000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","1000","","","","","","","","","","","","","","","","","","","","","","",""
"0000039MOR","41.816049","-88.044415000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","497","","","","","","","","","","","","","","","","","","","","","","",""
"0000048MOR","41.883850000000002","-88.037228999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0000104MOR","41.698936000000003","-87.959307999999993","WGS84","Louise & Lee","based on collectors description","GeoLocate","191","","","","","","","","","","","","","","","","","","","","","","",""
"0000109MOR","41.816997999999998","-88.045069999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","505","","","","","","","","","","","","","","","","","","","","","","",""
"0000110MOR","41.821517999999998","-88.076391000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","80","","","","","","","","","","","","","","","","","","","","","","",""
"0000201MOR","41.153508000000002","-86.944237999999999","WGS84","Fertig","","","400","","","","","","","","","","","","","","","","","","","","","","",""
"0000209MOR","41.522576000000001","-87.456832000000006","WGS84","Fertig","","","100","","","","","","","","","","","","","","","","","","","","","","",""
"0000211MOR","41.734749999999998","-86.855119999999999","WGS84","Fertig","","","300","","","","","","","","","","","","","","","","","","","","","","",""
"0000213MOR","41.088788999999998","-87.426158000000001","WGS84","Fertig","","","200","","","","","","","","","","","","","","","","","","","","","","",""
"0000215MOR","41.642699999999998","-87.087748000000005","WGS84","Fertig","","GeoLocate","800","","","","","","","","","","","","","","","","","","","","","","",""
"0000217MOR","41.236018999999999","-86.66816","WGS84","Fertig","","","500","","","","","","","","","","","","","","","","","","","","","","",""
"0000222MOR","41.818617000000003","-88.057997999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0000258MOR","41.825369000000002","-88.220411999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","496","","","","","","","","","","","","","","","","","","","","","","",""
"0000270MOR","41.818085000000004","-88.059231999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0000278MOR","41.814864999999998","-88.037699000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","","","","","","","","","","","","","","","","","","","","","","",""
"0000317MOR","41.969304000000001","-88.234211000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0000342MOR","41.707858000000002","-88.143248","WGS84","Louise & Lee","based on collectors description","GeoLocate","216","","","","","","","","","","","","","","","","","","","","","","",""
"0000348MOR","41.790664999999997","-88.024045999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","","",""
"0000350MOR","41.787835999999999","-88.223088000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0000387MOR","41.816943999999999","-88.053534999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","","","","","","","","","","","","","","","","","","","","","","",""
"0000388MOR","41.812738000000003","-88.047697999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0000399MOR","41.69614","-87.970590000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","103","","","","","","","","","","","","","","","","","","","","","","",""
"0000471MOR","41.815272999999998","-88.085087999999999","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","","","","","","","","","","","","","","","","","","","","","","",""
"0000472MOR","41.815216999999997","-88.079819999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0000513MOR","41.814833","-88.080786000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0000521MOR","41.815334","-88.064554000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0000553MOR","41.813298000000003","-88.090871000000007","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0000648MOR","41.818863","-88.050298999999995","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0000669MOR","41.887233999999999","-88.217256000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0000680MOR","41.735475000000001","-88.076836999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0000688MOR","41.712431000000002","-87.927156999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","1009","","","","","","","","","","","","","","","","","","","","","","",""
"0000690MOR","41.712431000000002","-87.927156999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","","","","","","","","","","","","","","","","","","","","","","",""
"0000704MOR","41.816400999999999","-88.037913000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0000707MOR","41.813457999999997","-88.079583999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0000708MOR","41.819423","-88.084326000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","213","","","","","","","","","","","","","","","","","","","","","","",""
"0000711MOR","41.817317000000003","-88.065411999999995","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0000743MOR","41.819215","-88.070871999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","157","","","","","","","","","","","","","","","","","","","","","","",""
"0000748MOR","41.819983000000001","-88.046411000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0000782MOR","41.816201","-88.085875999999999","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","","","","","","","","","","","","","","","","","","","","","","",""
"0000783MOR","41.813330000000001","-88.091110999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","","","","","","","","","","","","","","","","","","","","","","",""
"0000813MOR","41.812179","-88.069187999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","96","","","","","","","","","","","","","","","","","","","","","","",""
"0000835MOR","41.819839000000002","-88.083596999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","","","","","","","","","","","","","","","","","","","","","","",""
"0000855MOR","41.820749999999997","-88.083532000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0000857MOR","41.821357999999996","-88.080211000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","","","","","","","","","","","","","","","","","","","","","","",""
"0000866MOR","41.815264999999997","-88.083168000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","","","","","","","","","","","","","","","","","","","","","","",""
"0000867MOR","41.817712","-88.084412","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0000868MOR","41.814481999999998","-88.041905","WGS84","Louise & Lee","based on collectors description","GeoLocate","193","","","","","","","","","","","","","","","","","","","","","","",""
"0000872MOR","41.754714","-88.071313000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","","",""
"0000893MOR","41.812499000000003","-88.072824999999995","WGS84","Louise & Lee","based on collectors description","GeoLocate","125","","","","","","","","","","","","","","","","","","","","","","",""
"0000898MOR","41.814577999999997","-88.079841999999999","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","","","","","","","","","","","","","","","","","","","","","","",""
"0000916MOR","41.816625000000002","-88.076559000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0000928MOR","41.824022999999997","-88.104530999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","","","","","","","","","","","","","","","","","","","","","","",""
"0000929MOR","41.812466999999998","-88.072353000000007","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","","","","","","","","","","","","","","","","","","","","","","",""
"0000932MOR","41.943181000000003","-87.976106999999999","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0000933MOR","41.966656","-88.250888000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","","","","","","","","","","","","","","","","","","","","","","",""
"0000963MOR","41.744545000000002","-87.985748999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","59","","","","","","","","","","","","","","","","","","","","","","",""
"0000966MOR","41.812690000000003","-88.070143000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","","","","","","","","","","","","","","","","","","","","","","",""
"0000998MOR","41.891089999999998","-88.231340000000003","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0001000MOR","41.816037999999999","-88.037345000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0001014MOR","41.812801999999998","-88.072911000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","30","","","","","","","","","","","","","","","","","","","","","","",""
