RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,Section,Floragenex Library Name,SEQUENCED ON,SEQUENCING DETAILS
YES,1,1,A1,UMN,OAK-UMN-374,Quercus cortesii,JCB-HN-UY-30,Wild collected,Honduras; Uyuca Mountain - Biological reserve,MOR,176593,,,,,,,,Honduras,14.02737491,-87.07130156,UTM converter,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,B1,MOR,OAK-MOR-492,Quercus parvula,CA-DAV-MH019,UC Davis Arboretum,"CA: Santa Barbara County, Santa Cruz Island. Collected at head of canyon leading to southernmost tributary to China Harbor. Roman Gankin. 7 Sep 1968.","MOR, UMN, DUKE, ND",174675,,,,,,Santa Barbara,California,USA,34.011649,-119.745491,Google earth to santa cruz island,NO,NO,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,C1,UMN,OAK-UMN-391,Quercus segoviensis,JCB-HN-UY-47,Wild collected,Honduras; Uyuca Mountain - Biological reserve,"UMN, MOR",176610,,,,,,,,Honduras,14.03838699,-87.07470396,UTM converter,NO,YES,Quercus L.,,,
YES,1,1,D1,UMN,OAK-UMN-128,Quercus eduardii,JCB-MX-JA-AT-197,Wild collected,"Jalisco, Mexico; Atotonilco","UMN, MOR",175906,,http://quercus.lifedesks.org/node/896,,,,,Jalisco,Mexico,20.66090123,-102.4734047,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,E1,UMN,OAK-UMN-133,Quercus eduardii,JCB-MX-JA-AT-202,Wild collected,"Jalisco, Mexico; Atotonilco","UMN, MOR",175904,,http://quercus.lifedesks.org/node/868,,,,,Jalisco,Mexico,20.66090123,-102.4734047,0,NO,NO,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,F1,UMN,OAK-UMN-106,Quercus ocoteifolia,JCB-MX-JA-NC-175,Wild collected,"Jalisco, Mexico; Nevado de Colima >2230 m","UMN, MOR",175901," **Note falling strangely in RAD analysis… however in AFLP, seems to make sense….; also Listed as syn to Q.laurina in Oaks of Americas lifedesk",http://quercus.lifedesks.org/node/895,,,,,Jalisco,Mexico,19.61895129,-103.5619187,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,G1,UMN,OAK-UMN-047,Quercus gentryi,JCB-MX-JA-TM-116,Wild collected,"Jalisco, Mexico; Tequila Montana","UMN, MOR",175912,,http://quercus.lifedesks.org/node/899,,,,,Jalisco,Mexico,20.89629097,-105.4095188,0,NO,NO,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,H1,UMN,OAK-UMN-276,Quercus rugosa,JCB-MX-OA-PA-25,Wild collected,"Oaxaca, Mexico; Papalo",MOR,175531,,,,,,,Oaxaca,Mexico,17.85043275,-96.81965187,GPS,NO,YES,Quercus L.,,,
YES,1,1,A2,MOR,OAK-MOR-435,Quercus acerifolia,IL-SH-022,Starhill Forest Arboretum,"Sebastian Co., AR, USA",MOR,175315,,http://quercus.lifedesks.org/node/946,http://quercus.lifedesks.org/pages/303,,,Sebastian,Arkansas,USA,35.594167,-94.258056,website /geoHack for Sebastian Co,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,B2,MOR,OAK-MOR-534,Quercus canariensis,CA-DAV-MH052,UC Davis Arboretum,"collected directly from wild; origin known Kew Gardens, acorns received 8-XII-64.","MOR, UMN, DUKE, ND",174702,,,,,,,,,51.477178,-0.296875,"??? Not sure, so I google earth to Kew Gardens, England??",NO,YES,Quercus L.,,,
YES,1,1,C2,MOR,OAK-MOR-359,Quercus alba,IL-MOR-MH109,The Morton Arboretum,collected by: Dan Keiser;  on a farm  in Anoka County Minnesota U.S.A.,"MOR, UMN(2), DUKE, ND, MX",174462,,,,,,Anoka,Minnesota,USA,45.367983,-93.219304,"Google earth of Anoka, MN.",YES,YES,Quercus L.,,,
YES,1,1,D2,MOR,OAK-MOR-413,Quercus arizonica,AZ-HU-15,Wild collected,"Arizona, USA; Huachuca Mountains - Carr Canyon Road","MOR, DUKE, ND, MX",174229,,,,,,,Arizona,USA,31.44959506,-109.2431153,GPS,YES,YES,Quercus L.,,,
YES,1,1,E2,MOR,OAK-MOR-342,Quercus bicolor,IL-MOR-MH094,The Morton Arboretum,collected along the Des Plaines River near Willow Springs  in Cook County Illinois U.S.A.,"MOR, UMN, DUKE, ND",174534,,,,,,Cook,Illinois,USA,41.740864,-87.860335,"Google earth to Willow Springs, IL",YES,YES,Quercus L.,,,
YES,1,1,F2,MOR,OAK-MOR-436,Quercus boyntonii,IL-SH-024,Starhill Forest Arboretum,"Gadsden, AL, USA, Ron Lance, acquisition year 1999, planted Starhill 2012",MOR,175278,,http://quercus.lifedesks.org/node/950,,,,Etowah,Alabama,USA,34.014264,-86.00664,"Google Earth; Gadsden, AL",YES,YES,Quercus L.,,,
YES,1,1,G2,MOR,OAK-MOR-226,Quercus buckleyi,IL-SH-053,Starhill Forest Arboretum,Walde Co; TX,MOR-tiny + photos,,,,,,,Walde,Texas,USA,31.483419,-97.514466,"Nothing that looks like Walde county exists in texas,  there is some reference to a Waldo, Texas which is in McLennan County, which is within the species range for Q. buckleyi. Am using this as location?? (Waldo Rd, tx, usa)",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,H2,MOR,OAK-MOR-415,Quercus chrysolepis,AZ-HU-17,Wild collected,"Arizona, USA; Huachuca Mountains - Carr Canyon Road","MOR, DUKE, ND, MX",174230,not falling next to each other other chrysolepis'; OAK-MOR-474 falls out with 2010 data…,http://quercus.lifedesks.org/node/983,,,,,Arizona,USA,31.43347498,-109.2431153,GPS,YES,YES,Protobalanus (Trelease) A.Camus,,,
YES,1,1,A3,MOR,OAK-MOR-474,Quercus chrysolepis,CA-MH070,Wild collected,"California, USA; off US route 50 downhill from Kiber's Flts before mile marker 4617; in area with sign that says 4632. Side of road with pull-off area that contains a small strean.","MOR, UMN, DUKE, MX",174682,,http://quercus.lifedesks.org/node/992,,,,,California,USA,38.757996,-120.548892,Google Earth along route 50- placed between MH71 and MH68,YES,NO,Protobalanus (Trelease) A.Camus,,,
YES,1,1,B3,MOR,OAK-MOR-535,Quercus arizonica,IL-SH-123,Starhill Forest Arboretum,"Collected by Mike Melendrez in New Mexico, USA. (1996)",MOR,175255,,http://quercus.lifedesks.org/node/947,http://quercus.lifedesks.org/node/927,,,,New Mexico,USA,34.51994,-105.87009,"Google earth, center of New Mexico, USA",NO,NO,Quercus L.,,,
YES,1,1,C3,MOR,OAK-MOR-400,Quercus diversifolia,CA-DAV-MH029,UC Davis Arboretum,"Mexico: State of Guanajuato: Guanajuato: Collected on Dolore Hidalgo Road. 5 Dec 1966. McIntyre and Gankin
253.","MOR, UMN, DUKE, ND",174586,,,,,,,Guanajuato,Mexico,21.018203,-101.258511,"Google earth to Guanajuato, Mexico",NO,YES,Quercus L.,,,
YES,1,1,D3,MOR,OAK-MOR-401,Quercus douglasii,CA-DAV-MH044,UC Davis Arboretum,CA: Yuba River: Perhaps collected 9-OCT-59,"MOR, UMN, DUKE, ND",174693,Falling strangely not with other two douglasii; hybrid??,http://quercus.lifedesks.org/node/952,,,,,California,USA,39.168151,-121.521575,"Google Earth Yuba River, CA",NO,YES,Quercus L.,,,
YES,1,1,E3,MOR,OAK-MOR-531,Quercus douglasii,CA-MH073,Wild collected,"California, USA; off US route 50; east side of green stone route, just off rt 50 to north","MOR, UMN, DUKE, MX",174681,,http://quercus.lifedesks.org/node/980,,,,,California,USA,38.696153,-120.887322,Google Earth Rt 50 and greet stone rd.,YES,NO,Quercus L.,,,
YES,1,1,F3,MOR,OAK-MOR-336,Quercus durata,CA-DAV-MH064,UC Davis Arboretum,collected directly from wild; origin known California Native.,"MOR, UMN, DUKE, ND",174677,,,,,,,California,USA,38.51265,-122.48304,Google Earth to ~mid point in California; accuracy to state only!!!!!!!!!!!!!!!!!!!!!! I put it in Napa County; ,NO,YES,Quercus L.,,,
YES,1,1,G3,MOR,OAK-MOR-390,Quercus ellipsoidalis,IL-MOR-MH087,The Morton Arboretum,"collected by: Peter van der Linden & Ed Hedborn, The Morton Arboretum;  due southwest of Apple River Canyon State Park in Jo Daviess County Illinois U.S.A.","MOR, UMN(2), DUKE, ND, MX",174547,,,,,,Jo Daviess,Illinois,USA,42.447578,-90.057799,Google earth to Apple River Canyon State Park,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,H3,MOR,OAK-MOR-489,Quercus ellipsoidalis,IL-MOR-MH107,The Morton Arboretum,"From seeds wild collected by The Morton Arbortem in Bluffton Township, Winneshiek County, Iowa, U.S.A.  ","MOR, UMN(2), DUKE, ND, MX",174545,,,,,,Winneshiek,Iowa,USA,43.230264,-91.924173,"Google earth Winneshiek County, Iowa",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,A4,MOR,OAK-MOR-414,Quercus emoryi,AZ-HU-16,Wild collected,"Arizona, USA; Huachuca Mountains - Carr Canyon Road","MOR, DUKE, ND, MX",174231,,,,,,,Arizona,USA,31.44959506,-109.2431153,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,B4,MOR,OAK-MOR-406,Quercus engelmannii,CA-DAV-MH035,UC Davis Arboretum,"CA: San Diego County: Cedar Canyon, Otay Mtn.: dry stream side. 500 ft. Wayne Roderick s.n","MOR, UMN, DUKE, ND",174583,,,,,,San Diego,California,USA,32.594883,-116.843812,"Google earth to Otay mountain, CA",YES,YES,Quercus L.,,,
YES,1,1,C4,MOR,OAK-MOR-394,Quercus engelmannii,CA-DAV-MH037,UC Davis Arboretum,"CA: San Diego Co.: Collected on a field trip November 13-17, 1967 2.0 miles from Hauser Creek Camp Ground along Hauser Creek Rd. R. Gankin s.n. 15 Nov 1967","MOR, UMN, DUKE, ND",174576,,,,,,San Diego,California,USA,32.655035,-116.51453,"Google Earth, along Hauser Greek Road, near Hauser Creek Canyon Trail.  (not sure which campsite)",NO,YES,Quercus L.,,,
YES,1,1,D4,MOR,OAK-MOR-446,Quercus faginea var alpestris,IL-SH-144,Starhill Forest Arboretum,"Terry Hanlon, ex horto from Pittsburgh (cultivated)", ,,,,,,,,Pennsylvania,USA,NA,NA,NA,NO,YES,Quercus L.,,,
YES,1,1,E4,MOR,OAK-MOR-387,Quercus gambelii,IL-MOR-MH092,The Morton Arboretum,"Seed wild collected by The Morton Arboretum in Tiller County, Colorado, USA.","MOR, UMN(2), DUKE, ND, MX",174463,,,,,,Tiller,Colorado,USA,38.861158,-105.172682,"Typo? Should be Teller County?  Google earth to Teller County, Colorado",YES,YES,Quercus L.,,,
YES,1,1,F4,MOR,OAK-MOR-422,Quercus garryana var. fruticosa = Quercus garryana v. breweri,CA-DAV-MH021,UC Davis Arboretum,CA: El Dorado County: Diamond Springs: Collected at the end of South Point Rd. R. Gankin & Stebbins s.n. 29 Sep 1964.,"MOR, UMN, DUKE, ND",174699,,,,,,El Dorado,California,USA,38.678479,-120.812513,"Google Earth to Diamond Sprinds, CA, South Point Rd.",YES,YES,Quercus L.,,,
YES,1,1,G4,MOR,OAK-MOR-463,Quercus germana,IL-SH-012,Starhill Forest Arboretum, BG Javier Clavijero,"MOR-""Oak street"" ",NONE,,,,,,,,,NA,NA,NA,NO,YES,Quercus L.,,,
YES,1,1,H4,MOR,OAK-MOR-462,Quercus glabrescens,IL-SH-014,Starhill Forest Arboretum,Hidalgo,"MOR-""Oak street"" ",NONE,,,,,,,,,20.091096,-98.762387,Google earth to Hidalgo ME,NO,YES,Quercus L.,,,
YES,1,1,A5,MOR,OAK-MOR-399,Quercus gravesii,CA-DAV-MH045,UC Davis Arboretum,"Inst. of Forest Genetics, Placerville, CA: TX: Big Bend National Park. Barton Warnock (Sulross College, Alpine, TX) s.n. Donated by Phil Barker who grew them.","MOR, UMN, DUKE, ND",174709,,http://quercus.lifedesks.org/node/962,,,,,Texas,USA,29.212011,-103.268454,from Google earth of Big Bend National Park.,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,B5,MOR,OAK-MOR-403,Quercus greggii,CA-DAV-MH032,UC Davis Arboretum,Mexico: Nuevo Leon: 35.1 miles from La Escondida. McIntyre and Gankin 289. 8 Dec 1966.,"MOR, UMN, DUKE, ND",174578,,,,,,,Nuevo León,Mexico,25.570426,-100.241695,"From google, I think this is south of Monterrey (between 2 mountain ranges ??? Coorinates from Google Earth.",NO,YES,Quercus L.,,,
YES,1,1,C5,MOR,OAK-MOR-362,Quercus grisea,AZ-CH-10,Wild collected,"Arizona, USA; Chiracauha Mountains Southern portion in Rucker Canyon","MOR, DUKE, ND, MX",174221,,,,,,,Arizona,USA,31.68515914,-109.2431153,GPS,NO,NO,Quercus L.,,,
YES,1,1,D5,MOR,OAK-MOR-376,Quercus grisea,CA-DAV-MH036,UC Davis Arboretum,New Mexico: 27.3 Miles Sw. of Silver City. 6000 ft. D. Cavagnaro 142. 2 Oct 1963.,"MOR, UMN, DUKE, ND",174582,,,,,,,,,32.514739,-108.635571,"Google earth to ~27.3 miles SW of Silver City, NM",NO,YES,Quercus L.,,,
YES,1,1,E5,MOR,OAK-MOR-410,Quercus hypoleucoides,AZ-CH-12,Wild collected,"Arizona, USA; Chiracauha Mountains Southern portion in Rucker Canyon","MOR, DUKE, ND, MX",174236,,,,,,,Arizona,USA,31.75647824,-109.2431153,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,F5,MOR,OAK-MOR-416,Quercus hypoleucoides,AZ-HU-19,Wild collected,"Arizona, USA;  Huachuca Mountains - Carr Canyon Road","MOR, DUKE, ND, MX",174232,,,,,,,Arizona,USA,31.43396499,-109.2431153,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,G5,MOR,OAK-MOR-391,Quercus imbricaria,IL-MOR-MH088,The Morton Arboretum,collected by: Michael E. Lenart  in Clay County Illinois U.S.A.,"MOR, UMN(2), DUKE, ND, MX",174464,,,,,,Clay,Illinois,USA,38.742718,-88.562463,"Google Earth to Clay Count, IL",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,H5,MOR,OAK-MOR-421,Quercus imbricaria,IL-MOR-MH093,The Morton Arboretum,"collected by: J. C. Trager, Shaw Nature Reserve;  Shaw Nature Reserve and along I-44 roadside in Franklin County Missouri U.S.A.. (38.47375, -90.807083, 663 ft)","MOR, UMN(2), DUKE, ND, MX",174542,,,,,,Franklin,Missouri,USA,38.47375,-90.807083,GPS in provenance info,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,A6,MOR,OAK-MOR-476,Quercus kelloggii,CA-MH069,Wild collected,"California, USA; Eagle Rock River Access El Dorado National Forest; uphill from Kiber's Flat; of US route 50, by entry way on route to river.; sign in area that said 11N50","MOR, UMN, DUKE, MX",174683,,,,,,,California,USA,38.76833,-120.26722,GEOLocate web app,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,B6,MOR,OAK-MOR-438,Quercus laceyi,IL-SH-170,Starhill Forest Arboretum,Edwards Co.;  TX; Edwards Co.; USA,MOR,175253,,,,,,Edwards,Texas,USA,29.93806,-100.39145,"Google earth to Edwards Co., TX",NO,YES,Quercus L.,,,
YES,1,1,C6,MOR,OAK-MOR-189,Quercus laceyi,IL-SH-177,Starhill Forest Arboretum,David Richardson ; USA ,MOR,175332,,,http://quercus.lifedesks.org/node/535,,,,,USA,NA,NA,NA,NO,NO,Quercus L.,,,
YES,1,1,D6,MOR,OAK-MOR-375,Quercus lobata,"ARAM s.n. ""B""",Wild collected,"California, USA; 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.",MOR,174678,"After RAD results, looked back at voucher- atypical for lobata….this is probably a hybrid…",http://quercus.lifedesks.org/node/965,n/a,n/a,,,California,USA,39.198371,-123.055976,Google Earth; 1 mile west on rt 20 past lake/mendocino county lines,NO,NO,Quercus L.,,,
YES,1,1,E6,MOR,OAK-MOR-502,Quercus lobata,CA-MH074,Wild collected,"California, USA; off US route 50; east side of green stone route, just off rt 50 to north","MOR, UMN, DUKE, MX",174696,,http://quercus.lifedesks.org/node/966,,,,,California,USA,38.696153,-120.887322,estimate from Google Earth along US rt 50,NO,YES,Quercus L.,,,
YES,1,1,F6,MOR,OAK-MOR-385,Quercus lyrata,IL-MOR-MH096,The Morton Arboretum,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  near parking lot in Otter Slough State Conservation Area in Stoddard County Missouri U.S.A.(36.720972, -90.112917, 360 ft)","MOR, UMN, DUKE, ND",174540,,,http://quercus.lifedesks.org/node/361,,,Stoddard,Missouri,USA,36.720972,-90.112917,GPS in provenance info,YES,YES,Quercus L.,,,
YES,1,1,G6,MOR,OAK-MOR-486,Quercus macranthera subsp. syspirensis,IL-SH-044,Starhill Forest Arboretum,"Erzerum, Askale, Kaspinar; Turkey; 1950m;  40-46-45N/40-44-32E",MOR,175229,,,http://quercus.lifedesks.org/node/674,,Aşkale,,Erzurum,Turkey,40.779166,40.74222,GPS,NO,YES,Quercus L.,,,
YES,1,1,H6,MOR,OAK-MOR-356,Quercus macrocarpa,IL-MOR-MH108,The Morton Arboretum,collected by: B. C. Anten near Carterville in Jasper County Missouri U.S.A.,"MOR, UMN(2), DUKE, ND, MX",174544,,,,,,Jasper,Missouri,USA,37.149225,-94.443003,"Google Earth to Carterville, Missouri",YES,YES,Quercus L.,,,
YES,1,1,A7,MOR,OAK-MOR-420,Quercus margarettae,CA-DAV-MH050,UC Davis Arboretum,"Palmetto State Park Road 11, 0.2 Miles in from Junction With U. S. 183: Gonzales County: Texas: . 400 ft. D. Cavagnaro 272. 27 Oct 1963.","MOR, UMN, DUKE, ND",174705,,,,,,Gonzales,Texas,USA,29.616474,-97.572742,Google earth .2 miles in from road 11 and US183.,YES,YES,Quercus L.,,,
YES,1,1,B7,MOR,OAK-MOR-402,Quercus mexicana,CA-DAV-MH028,UC Davis Arboretum,"Mexico: Nuevo Leon: Collected 35.1 miles from La Escondida.
McIntyre and Gankin 288. 8 Dec 1966.","MOR, UMN, DUKE, ND",174587,,,,,,,Nuevo León,Mexico,25.570426,-100.241695,"From google, I think this is south of Monterrey (between 2 mountain ranges ??? Coorinates from Google Earth.",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,C7,MOR,OAK-MOR-488,Quercus mexicana,IL-SH-018,Starhill Forest Arboretum,34 m; Languna de Sanchez; NL; 91,"MOR-""Oak street"" - photo voucher",,,http://quercus.lifedesks.org/node/916,,,,,Nuevo León,Mexico,25.349814,-100.28336,Google Earth to Languana de Sanchez,NO,YES,Lobatae G.Don in J.C.Loudon,,,
